iter	RMSE
0	14.22885942
1	13.30628781
2	12.46724698
3	11.67273696
4	11.02427788
5	10.48120512
6	9.914716039
7	9.436784608
8	9.031128356
9	8.612129413
10	8.231557133
11	7.922069349
12	7.656726899
13	7.418053893
14	7.17513617
15	6.988777523
16	6.84334603
17	6.686451163
18	6.545917492
19	6.422536148
20	6.304184877
21	6.210924161
22	6.116420733
23	6.040150466
24	5.952517351
25	5.873148099
26	5.802227245
27	5.740840942
28	5.697500764
29	5.648426059
30	5.613466441
31	5.570953858
32	5.544615136
33	5.505454713
34	5.465798814
35	5.444057957
36	5.411767837
37	5.387366251
38	5.358428245
39	5.334528908
40	5.317464126
41	5.307807216
42	5.277214467
43	5.255797037
44	5.23917409
45	5.230171784
46	5.213443351
47	5.19734745
48	5.17997424
49	5.171386503
50	5.160250989
51	5.142525777
52	5.131731806
53	5.117242896
54	5.095351551
55	5.081852376
56	5.06534654
57	5.05276615
58	5.049519403
59	5.038644644
60	5.030529835
61	5.022600778
62	5.02155039
63	5.009477517
64	5.00327885
65	4.992588478
66	4.978741276
67	4.973402087
68	4.969454279
69	4.955154451
70	4.943451406
71	4.937481586
72	4.929798077
73	4.918651783
74	4.917470308
75	4.914365069
76	4.905031035
77	4.893951532
78	4.880569402
79	4.877417074
80	4.866830645
81	4.858541381
82	4.849830279
83	4.836354978
84	4.825764889
85	4.815142526
86	4.80871767
87	4.804534139
88	4.795963078
89	4.784804288
90	4.767787582
91	4.759498067
92	4.75497719
93	4.746299042
94	4.743831127
95	4.735956669
96	4.72176048
97	4.717322662
98	4.707966599
99	4.70015176
